cluster_id	category	chr	start	end	n_features	n_bystanders
C1	PF00004	super_126	13	49080	2	2
C2	PF00004	super_179	338156	479798	2	11
C3	PF00004	super_23	322494	355885	2	0
C4	PF00004	super_41	1918603	2141343	2	17
C5	PF00004	super_53	1219966	1418247	2	21
C6	PF00004	super_54	1608772	1668631	2	2
C7	PF00004	super_56	1028155	1181132	2	12
C8	PF00005	super_9	3905584	4117365	2	24
C9	PF00005	super_66	188169	338749	2	8
C10	PF00005	super_48	15129	207459	2	12
C11	PF00005	super_41	583749	638504	3	0
C12	PF00005	super_40	401531	694436	3	19
C13	PF00005	super_4	1162473	1189637	2	0
C14	PF00005	super_58	574236	710862	2	7
C15	PF00005	super_34	1908560	2287699	3	24
C16	PF00005	super_28	1567022	1597191	2	0
C17	PF00005	super_14	3322300	3336282	2	0
C18	PF00005	super_14	1628658	1715586	2	11
C19	PF00005	super_12	1243162	1398866	2	12
C20	PF00005	super_4	800191	826668	2	0
C21	PF00006	super_92	739102	749498	2	0
C22	PF00009	super_16	2939183	3148829	2	13
C23	PF00009	super_17	1650248	1701158	2	2
C24	PF00009	super_5	233412	276419	2	1
C25	PF00010	super_71	244070	317915	2	1
C26	PF00010	super_328	78735	108182	2	1
C27	PF00010	super_59	1254585	1308168	2	0
C28	PF00011	super_107	1063082	1076325	2	0
C29	PF00011	super_25	1898524	1902605	2	0
C30	PF00011	super_62	1225456	1454152	4	20
C31	PF00011	super_66	910913	914402	2	0
C32	PF00011	super_9	1300652	1304229	2	0
C33	PF00012	super_108	64947	183452	3	6
C34	PF00012	super_73	527199	628762	2	9
C35	PF00013	super_0	9772988	9993267	2	7
C36	PF00025	super_231	221032	333425	2	8
C37	PF00025	super_20	1619867	2109688	4	34
C38	PF00025	super_16	1855970	2081265	2	17
C39	PF00026	super_179	301622	549109	3	16
C40	PF00027	super_78	452649	457431	2	0
C41	PF00027	super_79	1053359	1298720	2	11
C42	PF00043	super_163	89719	105158	3	1
C43	PF00043	super_18	3055161	3084545	2	2
C44	PF00043	super_5	3219610	3336723	6	1
C45	PF00043	super_51	264816	283373	2	0
C46	PF00043	super_513	12799	30359	3	0
C47	PF00043	super_56	1300820	1317794	2	0
C48	PF00043	super_76	803869	810145	2	0
C49	PF00046	super_8	4427856	4463122	2	1
C50	PF00046	super_71	1457656	1498320	2	1
C51	PF00046	super_23	690303	803271	2	2
C52	PF00046	super_1	1192522	1416136	2	5
C53	PF00046	super_103	87734	139685	2	3
C54	PF00046	super_0	10187526	10285464	2	1
C55	PF00046	super_219	159810	196011	2	0
C56	PF00067	super_44	819734	918586	2	6
C57	PF00067	super_308	8990	22020	3	0
C58	PF00067	super_310	41208	59329	2	0
